date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:38:05	99260/99260	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202026%2002:38:04%20GMT	https://www.copasa.com.br/wps/portal/internet/abastecimento-de-agua/nivel-dos-reservatorios	./copasa-clone/www.copasa.com.br/wps/portal/internet/abastecimento-de-agua/nivel-dos-reservatorios.html	(from https://www.copasa.com.br/wps/portal/internet/)
23:38:05	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2002:38:05%20GMT	https://www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/?uri=nm:oid:Z6_L0KAHKK0JORIF0AKROGOIBRNO6&st=	./copasa-clone/www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/index47a6.html	(from https://www.copasa.com.br/wps/portal/internet/)
23:38:05	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2002:38:05%20GMT	https://www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/?uri=nm:oid:Z6_L0KAHKK0JORIF0AKROGOIBRN43&st=	./copasa-clone/www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/indexff0f.html	(from https://www.copasa.com.br/wps/portal/internet/)
23:38:05	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2002:38:05%20GMT	https://www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/?uri=nm:oid:Z6_L0KAHKK0JORIF0AKROGOIBRNC0&st=	./copasa-clone/www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/index6d36.html	(from https://www.copasa.com.br/wps/portal/internet/)
23:38:07	91946/91946	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202026%2002:38:06%20GMT	https://www.copasa.com.br/wps/portal/internet/abastecimento-de-agua/qualidade	./copasa-clone/www.copasa.com.br/wps/portal/internet/abastecimento-de-agua/qualidade.html	(from https://www.copasa.com.br/wps/portal/internet/)
23:38:07	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2002:38:07%20GMT	https://www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/?uri=nm:oid:Z6_L0KAHKK0JORIF0AKROGOIBRNS2&st=	./copasa-clone/www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/indexf610.html	(from https://www.copasa.com.br/wps/portal/internet/)
23:38:07	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2002:38:07%20GMT	https://www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/?uri=nm:oid:Z6_L0KAHKK0JORIF0AKROGOIBRN21&st=	./copasa-clone/www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/indexcfeb.html	(from https://www.copasa.com.br/wps/portal/internet/)
23:38:07	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2002:38:07%20GMT	https://www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/?uri=nm:oid:Z6_L0KAHKK0JORIF0AKROGOIBRNI3&st=	./copasa-clone/www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/indexc4a4.html	(from https://www.copasa.com.br/wps/portal/internet/)
23:38:09	110686/110686	---MC-	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202026%2002:38:08%20GMT	https://www.copasa.com.br/wps/portal/internet/imprensa/noticias/informacoes-sobre-abastecimento	./copasa-clone/www.copasa.com.br/wps/portal/internet/imprensa/noticias/informacoes-sobre-abastecimento.html	(from https://www.copasa.com.br/wps/portal/internet/)
23:38:09	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2030%20Apr%202026%2002:38:09%20GMT	https://www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/?uri=nm:oid:Z6_L0KAHKK0JORIF0AKROGOIBRNM7&st=	./copasa-clone/www.copasa.com.br/wps/portal/internet/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziAww8nQ1N3A28LDwMLAwcLcwNLT2cDYxNTQz1w8EKDHAARwP9KGL041EQhd_4cP0oQkoKckMjDNIVFQHyj1kA/indexe257.html	(from https://www.copasa.com.br/wps/portal/internet/)
